centroid_day,repeat,centroid_day_train,accuracy,precision_micro,precision_macro,precision_weighted,precision_negative,precision_neutral,precision_positive,recall_micro,recall_macro,recall_weighted,recall_negative,recall_neutral,recall_positive,f1_micro,f1_macro,f1_weighted,f1_negative,f1_neutral,f1_positive
2020-02-02,14,2019-02-07,0.6,0.6,0.6105476673427992,0.6033536173089925,0.6764705882352942,0.5862068965517241,0.5689655172413793,0.6,0.5989621489621489,0.6,0.5897435897435898,0.6071428571428571,0.6,0.6,0.6035663369439074,0.6006849669532865,0.6301369863013699,0.5964912280701754,0.584070796460177
2020-05-02,14,2019-02-07,0.54,0.54,0.5329834442737669,0.5490595664789213,0.4838709677419355,0.5079365079365079,0.6071428571428571,0.54,0.5589080459770115,0.54,0.625,0.5517241379310345,0.5,0.54,0.5409224206878166,0.5403927841464498,0.5454545454545454,0.5289256198347106,0.5483870967741935
2020-07-31,14,2019-02-07,0.58,0.58,0.5688607263319907,0.5801231293185316,0.5185185185185185,0.5846153846153846,0.603448275862069,0.58,0.5679902473005921,0.58,0.4827586206896552,0.6909090909090909,0.5303030303030303,0.58,0.5659498207885304,0.5772759856630825,0.5,0.6333333333333333,0.5645161290322581
2018-11-09,14,2018-11-09,0.6666666666666666,0.6666666666666666,0.6357407407407408,0.6641962962962962,0.56,0.6222222222222222,0.725,0.6666666666666666,0.6291509908531184,0.6666666666666666,0.5384615384615384,0.5957446808510638,0.7532467532467533,0.6666666666666666,0.6321895877339211,0.6651661680087894,0.5490196078431373,0.608695652173913,0.7388535031847133
2019-02-07,14,2018-11-09,0.56,0.56,0.5231193275901821,0.5586908130541407,0.3870967741935484,0.5526315789473685,0.6296296296296297,0.56,0.518968253968254,0.56,0.42857142857142855,0.42,0.7083333333333334,0.56,0.5169063516521144,0.5550231124807397,0.4067796610169491,0.4772727272727273,0.6666666666666667
2019-05-08,14,2018-11-09,0.6133333333333333,0.6133333333333333,0.567069711897298,0.6024439468577399,0.4090909090909091,0.6206896551724138,0.6714285714285714,0.6133333333333333,0.5595013438554355,0.6133333333333333,0.3103448275862069,0.6666666666666666,0.7014925373134329,0.6133333333333333,0.5606432353963483,0.6061358850109386,0.35294117647058826,0.6428571428571429,0.6861313868613139
2019-08-06,14,2018-11-09,0.5333333333333333,0.5333333333333333,0.5120754335170138,0.5257288845303695,0.4583333333333333,0.5116279069767442,0.5662650602409639,0.5333333333333333,0.49607009651614214,0.5333333333333333,0.3793103448275862,0.4074074074074074,0.7014925373134329,0.5333333333333333,0.49845641790399614,0.5234616525103201,0.4150943396226415,0.4536082474226804,0.6266666666666667
2019-11-04,14,2018-11-09,0.6466666666666666,0.6466666666666666,0.6459326888650198,0.6465489437880416,0.64,0.6530612244897959,0.6447368421052632,0.6466666666666666,0.6171992835595778,0.6466666666666666,0.47058823529411764,0.6153846153846154,0.765625,0.6466666666666666,0.6253454158975219,0.6412744867707109,0.5423728813559322,0.6336633663366337,0.7
2020-02-02,14,2018-11-09,0.5533333333333333,0.5533333333333333,0.5802315963606286,0.5680645161290322,0.6923076923076923,0.5483870967741935,0.5,0.5533333333333333,0.5441058941058942,0.5533333333333333,0.46153846153846156,0.6071428571428571,0.5636363636363636,0.5533333333333333,0.5533439567337872,0.5534432372398473,0.553846153846154,0.5762711864406779,0.5299145299145299
2020-05-02,14,2018-11-09,0.49333333333333335,0.49333333333333335,0.4797511825309402,0.4943242834618458,0.43478260869565216,0.45901639344262296,0.5454545454545454,0.49333333333333335,0.4762790173540681,0.49333333333333335,0.4166666666666667,0.4827586206896552,0.5294117647058824,0.4933333333333334,0.4778111943411852,0.49362798024894305,0.425531914893617,0.47058823529411764,0.5373134328358209
